date,xejVolatility,cloudCover
2018-01-02,74.3994140625,54
2018-01-03,117.5,24
2018-01-04,163.0,6
2018-01-05,91.599609375,0
2018-01-08,63.8994140625,25
2018-01-09,136.400390625,14
2018-01-10,172.69921875,68
2018-01-11,100.2001953125,74
2018-01-12,108.400390625,78
2018-01-15,188.0,37
2018-01-16,178.900390625,13
2018-01-17,140.900390625,0
2018-01-18,163.2998046875,0
2018-01-19,146.8994140625,10
2018-01-22,61.2998046875,36
2018-01-23,211.30078125,0
2018-01-24,129.099609375,15
2018-01-25,79.1005859375,29
2018-01-29,142.3994140625,81
2018-01-30,176.7001953125,99
2018-01-31,205.7001953125,100
2018-02-01,130.099609375,81
2018-02-02,285.599609375,22
2018-02-05,316.7001953125,32
2018-02-06,574.2998046875,10
2018-02-07,243.0,33
2018-02-08,208.2998046875,70
2018-02-09,285.0,49
2018-02-12,186.7001953125,31
2018-02-13,89.6005859375,7
2018-02-14,69.599609375,24
2018-02-15,242.0,64
2018-02-16,108.0,36
2018-02-19,263.599609375,26
2018-02-20,120.8994140625,93
2018-02-21,143.2001953125,100
2018-02-22,143.2998046875,91
2018-02-23,99.7001953125,43
2018-02-26,139.3994140625,13
2018-02-27,119.900390625,14
2018-02-28,122.3994140625,48
2018-03-01,244.2001953125,51
2018-03-02,133.5,47
2018-03-05,97.2001953125,24
2018-03-06,248.599609375,0
2018-03-07,168.599609375,6
2018-03-08,62.099609375,0
2018-03-09,145.900390625,0
2018-03-12,199.099609375,7
2018-03-13,93.1005859375,4
2018-03-14,85.30078125,4
2018-03-15,102.2001953125,57
2018-03-16,70.30078125,73
2018-03-19,190.5,76
2018-03-20,141.900390625,43
2018-03-21,155.7001953125,0
2018-03-22,183.0,46
2018-03-23,205.900390625,22
2018-03-26,92.5,74
2018-03-27,88.099609375,47
2018-03-28,142.400390625,50
2018-03-29,150.900390625,54
2018-04-03,341.5,7
2018-04-04,84.0,27
2018-04-05,112.2998046875,0
2018-04-06,136.7001953125,27
2018-04-09,86.5,40
2018-04-10,132.69921875,13
2018-04-11,138.099609375,9
2018-04-12,91.2998046875,48
2018-04-13,83.099609375,51
2018-04-16,175.2001953125,94
2018-04-17,133.099609375,55
2018-04-18,154.5,87
2018-04-19,153.7001953125,3
2018-04-20,88.0,26
2018-04-23,157.7998046875,47
2018-04-24,115.7998046875,61
2018-04-26,167.5,27
2018-04-27,121.5,0
2018-04-30,173.1005859375,2
2018-05-01,118.6005859375,76
2018-05-02,130.6005859375,83
2018-05-03,142.7001953125,83
2018-05-04,115.2998046875,39
2018-05-07,140.7998046875,82
2018-05-08,207.30078125,36
2018-05-09,165.80078125,72
2018-05-10,297.5,50
2018-05-11,124.0,54
2018-05-14,146.0,46
2018-05-15,154.69921875,52
2018-05-16,215.2998046875,35
2018-05-17,68.900390625,93
2018-05-18,132.7998046875,74
2018-05-21,150.5,85
2018-05-22,154.599609375,77
2018-05-23,333.7001953125,66
2018-05-24,108.7998046875,61
2018-05-25,197.1005859375,33
