date,xejVolatility,cloudCover
2023-01-03,305.2998046875,36
2023-01-04,209.2001953125,51
2023-01-05,265.0,10
2023-01-06,202.900390625,0
2023-01-09,175.2001953125,0
2023-01-10,137.5,14
2023-01-11,132.900390625,22
2023-01-12,171.19921875,12
2023-01-13,262.6005859375,13
2023-01-16,195.8994140625,43
2023-01-17,143.0,83
2023-01-18,249.0,90
2023-01-19,224.0,36
2023-01-20,248.8994140625,91
2023-01-23,139.6005859375,74
2023-01-24,100.7998046875,4
2023-01-25,231.69921875,6
2023-01-27,232.400390625,19
2023-01-30,131.099609375,42
2023-01-31,129.69921875,5
2023-02-01,257.1005859375,65
2023-02-02,155.7998046875,78
2023-02-03,185.900390625,56
2023-02-06,134.7998046875,8
2023-02-07,144.2001953125,0
2023-02-08,152.30078125,10
2023-02-09,107.099609375,9
2023-02-10,186.8994140625,31
2023-02-13,254.7998046875,1
2023-02-14,295.80078125,0
2023-02-15,163.7001953125,35
2023-02-16,146.599609375,41
2023-02-17,194.2001953125,1
2023-02-20,144.099609375,16
2023-02-21,152.900390625,49
2023-02-22,259.8994140625,22
2023-02-23,117.80078125,30
2023-02-24,106.400390625,92
2023-02-27,225.2998046875,48
2023-02-28,227.3994140625,90
2023-03-01,259.2998046875,53
2023-03-02,194.2998046875,61
2023-03-03,136.599609375,26
2023-03-06,236.7001953125,52
2023-03-07,204.099609375,67
2023-03-08,568.5,92
2023-03-09,158.0,77
2023-03-10,420.400390625,20
2023-03-13,150.0,62
2023-03-14,431.2998046875,39
2023-03-15,124.2998046875,48
2023-03-16,503.19921875,18
2023-03-17,223.2001953125,50
2023-03-20,309.2001953125,92
2023-03-21,217.5,48
2023-03-22,438.7998046875,33
2023-03-23,104.2001953125,30
2023-03-24,147.5,65
2023-03-27,228.7001953125,67
2023-03-28,414.2998046875,42
2023-03-29,212.900390625,29
2023-03-30,119.2998046875,69
2023-03-31,158.2998046875,47
2023-04-03,489.5,8
2023-04-04,171.3994140625,23
2023-04-05,226.400390625,38
2023-04-06,147.599609375,68
2023-04-11,157.2001953125,94
2023-04-12,91.5,60
2023-04-13,175.7001953125,49
2023-04-14,148.30078125,73
2023-04-17,96.2998046875,32
2023-04-18,249.2001953125,31
2023-04-19,95.1005859375,56
2023-04-20,156.5,72
2023-04-21,219.7998046875,24
2023-04-24,134.69921875,0
2023-04-26,145.5,89
2023-04-27,111.099609375,35
2023-04-28,92.80078125,87
2023-05-01,184.0,94
2023-05-02,183.2001953125,50
2023-05-03,309.0,76
2023-05-04,237.80078125,48
2023-05-05,79.0,88
2023-05-08,282.5,61
2023-05-09,137.2998046875,42
2023-05-10,86.0,46
2023-05-11,84.3994140625,46
2023-05-12,141.2998046875,47
2023-05-15,93.2998046875,4
2023-05-16,85.2998046875,33
2023-05-17,99.2001953125,50
2023-05-18,133.6005859375,54
2023-05-19,126.2998046875,83
2023-05-22,140.69921875,76
2023-05-23,153.30078125,80
2023-05-24,99.2998046875,57
2023-05-25,112.30078125,87
2023-05-26,90.5,89
2023-05-29,155.0,68
2023-05-30,148.400390625,94
2023-05-31,324.69921875,86
2023-06-01,117.599609375,85
2023-06-02,156.400390625,68
2023-06-05,208.3994140625,61
2023-06-06,115.8994140625,36
2023-06-07,139.099609375,56
2023-06-08,273.2001953125,80
2023-06-09,82.6005859375,49
2023-06-13,241.1005859375,54
2023-06-14,116.1005859375,71
2023-06-15,83.0,46
2023-06-16,400.0,1
2023-06-19,127.900390625,74
2023-06-20,237.2998046875,70
2023-06-21,165.0,87
2023-06-22,251.8994140625,99
2023-06-23,509.400390625,37
2023-06-26,88.5,64
2023-06-27,114.5,100
2023-06-28,166.7998046875,62
2023-06-29,70.2998046875,83
2023-06-30,111.7001953125,96
2023-07-03,148.19921875,100
2023-07-04,168.0,31
2023-07-05,160.2001953125,53
2023-07-06,162.2998046875,74
2023-07-07,278.8994140625,38
2023-07-10,220.5,47
2023-07-11,127.599609375,7
2023-07-12,256.69921875,30
2023-07-13,130.400390625,49
2023-07-14,160.5,46
2023-07-17,130.7998046875,0
2023-07-18,138.900390625,69
2023-07-19,222.2998046875,33
2023-07-20,109.5,42
2023-07-21,190.2998046875,56
2023-07-24,274.8994140625,86
2023-07-25,155.7001953125,20
2023-07-26,160.7001953125,0
2023-07-27,102.3994140625,57
2023-07-28,138.5,42
2023-07-31,162.7001953125,78
2023-08-01,165.0,52
2023-08-02,173.599609375,32
2023-08-03,197.400390625,34
2023-08-04,185.69921875,85
2023-08-07,95.7001953125,59
2023-08-08,104.900390625,1
2023-08-09,135.900390625,19
2023-08-10,296.400390625,50
2023-08-11,268.7998046875,72
2023-08-14,158.099609375,36
2023-08-15,114.69921875,0
2023-08-16,150.2001953125,22
2023-08-17,126.400390625,78
2023-08-18,96.2998046875,59
2023-08-21,163.7001953125,59
2023-08-22,202.099609375,34
2023-08-23,113.2998046875,40
2023-08-24,160.2998046875,17
2023-08-25,221.7998046875,58
2023-08-28,135.900390625,52
2023-08-29,93.400390625,54
2023-08-30,179.2001953125,70
2023-08-31,382.2001953125,90
2023-09-01,292.2001953125,57
2023-09-04,208.69921875,44
2023-09-05,153.599609375,45
2023-09-06,227.099609375,20
2023-09-07,215.7001953125,72
2023-09-08,150.7998046875,42
2023-09-11,87.400390625,31
2023-09-12,222.5,0
2023-09-13,122.099609375,38
2023-09-14,98.7998046875,84
2023-09-15,280.30078125,11
2023-09-18,180.400390625,34
2023-09-19,92.400390625,21
2023-09-20,243.599609375,51
2023-09-21,235.599609375,42
2023-09-22,259.900390625,21
2023-09-25,137.900390625,31
2023-09-26,139.2001953125,48
2023-09-27,139.2001953125,25
2023-09-28,338.400390625,17
2023-09-29,131.8994140625,0
2023-10-02,118.1005859375,20
2023-10-03,451.0,70
2023-10-04,140.19921875,47
2023-10-05,286.6005859375,88
2023-10-06,115.2001953125,33
2023-10-09,359.2001953125,3
2023-10-10,190.19921875,4
2023-10-11,76.900390625,28
2023-10-12,80.3994140625,43
2023-10-13,62.099609375,85
2023-10-16,134.099609375,58
2023-10-17,65.2001953125,1
2023-10-18,290.599609375,0
2023-10-19,199.0,38
2023-10-20,120.7001953125,78
2023-10-23,368.0,62
2023-10-24,129.5,51
2023-10-25,166.099609375,25
2023-10-26,147.8994140625,33
2023-10-27,144.30078125,29
2023-10-30,297.0,55
2023-10-31,130.3994140625,42
2023-11-01,150.2001953125,7
2023-11-02,233.599609375,77
2023-11-03,140.6005859375,50
2023-11-06,123.7998046875,1
2023-11-07,107.599609375,20
2023-11-08,190.0,27
2023-11-09,126.400390625,5
2023-11-10,174.900390625,52
2023-11-13,160.5,96
2023-11-14,310.69921875,79
2023-11-15,157.0,46
2023-11-16,191.7001953125,45
2023-11-17,249.5,1
2023-11-20,159.7998046875,93
2023-11-21,86.400390625,5
2023-11-22,98.900390625,25
2023-11-23,148.400390625,79
2023-11-24,155.0,67
2023-11-27,72.2998046875,41
2023-11-28,147.7998046875,90
2023-11-29,173.2001953125,58
2023-11-30,65.900390625,17
2023-12-01,86.5,63
2023-12-04,263.80078125,4
2023-12-05,208.3994140625,63
2023-12-06,107.5,76
2023-12-07,280.5,99
2023-12-08,210.2001953125,83
2023-12-11,150.7998046875,85
2023-12-12,121.599609375,59
2023-12-13,109.400390625,40
2023-12-14,161.69921875,66
2023-12-15,230.0,38
2023-12-18,105.7001953125,89
2023-12-19,125.400390625,19
2023-12-20,142.7001953125,18
2023-12-21,95.599609375,14
2023-12-22,81.8994140625,56
2023-12-27,156.5,49
2023-12-28,63.7001953125,41
2023-12-29,103.7998046875,9
