month,GPR
2018-01-01,92.43
2018-02-01,64.49
2018-03-01,111.96
2018-04-01,123.26
2018-05-01,125.67
2018-06-01,103.97
2018-07-01,110.03
2018-08-01,112.74
2018-09-01,75.05
2018-10-01,92.02
2018-11-01,80.41
2018-12-01,90.61
2019-01-01,87.42
2019-02-01,96.8
2019-03-01,82.33
2019-04-01,79.25
2019-05-01,106.47
2019-06-01,106.59
2019-07-01,93.52
2019-08-01,103.4
2019-09-01,90.37
2019-10-01,97.84
2019-11-01,73.08
2019-12-01,74.28
2020-01-01,138.42
2020-02-01,75.96
2020-03-01,81.54
2020-04-01,69.34
2020-05-01,68.51
2020-06-01,71.23
2020-07-01,66.47
2020-08-01,65.47
2020-09-01,80.38
2020-10-01,76.08
2020-11-01,70.07
2020-12-01,64.07
2021-01-01,77.42
2021-02-01,73.96
2021-03-01,78.62
2021-04-01,88.17
2021-05-01,93.01
2021-06-01,74.13
2021-07-01,58.42
2021-08-01,89.49
2021-09-01,80.7
2021-10-01,79.03
2021-11-01,86.57
2021-12-01,105.35
2022-01-01,138.67
2022-02-01,216.16
2022-03-01,318.95
2022-04-01,191.14
2022-05-01,142.26
2022-06-01,130.71
2022-07-01,117.18
2022-08-01,132.86
2022-09-01,131.99
2022-10-01,143.16
2022-11-01,116.72
2022-12-01,111.2
2023-01-01,104.27
2023-02-01,120.99
2023-03-01,105.38
2023-04-01,106.81
2023-05-01,108.47
2023-06-01,110.53
2023-07-01,107.45
2023-08-01,101.14
2023-09-01,98.63
2023-10-01,197.89
2023-11-01,156.7
2023-12-01,142.28
2024-01-01,160.37
2024-02-01,146.6
2024-03-01,133.21
2024-04-01,163.95
2024-05-01,130.52
2024-06-01,113.09
2024-07-01,92.39
2024-08-01,140.98
2024-09-01,130.36
2024-10-01,130.69
2024-11-01,128.9
2024-12-01,142.37
2025-01-01,113.23
